dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
30;3;2022-09-08;50894;41785;83;0;56
30;4;2022-09-08;13838;90;18;1;40
30;5;2022-09-08;1549;1031;31;2;37
30;6;2022-09-08;235;176;13;14;14
31;1;2022-09-08;839613;827065;516576;100807;554161
31;2;2022-09-08;133883;146712;243893;3787;264324
31;3;2022-09-08;88325;69853;89;0;28
31;4;2022-09-08;20806;124;9;0;66
31;5;2022-09-08;4155;2683;52;5;93
31;6;2022-09-08;373;293;47;31;58
32;1;2022-09-08;127314;126711;76977;18500;79781
32;2;2022-09-08;10609;13178;40666;1402;43023
32;3;2022-09-08;13224;11179;14;0;1
32;4;2022-09-08;3771;17;1;0;3
32;5;2022-09-08;620;436;4;2;9
32;6;2022-09-08;40;32;6;1;4
33;1;2022-09-08;962122;965820;665909;150122;699169
33;2;2022-09-08;202315;219513;309409;10606;331788
33;3;2022-09-08;132195;105283;204;0;74
33;4;2022-09-08;33431;188;22;4;57
33;5;2022-09-08;7802;4908;68;38;117
33;6;2022-09-08;371;265;23;22;41
34;1;2022-09-08;692970;683445;489257;100316;523121
34;2;2022-09-08;118392;129499;157123;4475;172384
34;3;2022-09-08;89102;70152;154;1;99
34;4;2022-09-08;21356;168;49;2;109
34;5;2022-09-08;2540;1700;64;9;70
34;6;2022-09-08;385;268;8;25;21
35;1;2022-09-08;682986;680070;436466;85336;460723
35;2;2022-09-08;98992;115261;214432;3764;228253
35;3;2022-09-08;83602;65861;98;0;17
35;4;2022-09-08;17521;42;4;0;12
35;5;2022-09-08;5461;3767;21;12;44
35;6;2022-09-08;193;138;5;5;16
36;1;2022-09-08;139208;139635;96068;22488;100609
36;2;2022-09-08;16393;19736;41019;1020;44801
36;3;2022-09-08;16819;14033;16;0;3
36;4;2022-09-08;4761;9;0;0;4
36;5;2022-09-08;1018;716;5;2;6
36;6;2022-09-08;20;12;2;0;5
37;1;2022-09-08;369344;369822;263797;65722;278935
37;2;2022-09-08;58723;68668;109647;4080;118951
37;3;2022-09-08;57164;46604;62;0;15
37;4;2022-09-08;12809;27;4;0;13
37;5;2022-09-08;2888;1938;22;11;38
